id	crohnall.yes	crohnall.no	commensal.yes	commensal.no	pvalues	pvalues.adj	pvalues.adj.bh
OG0000735:___putative_N-acetyltransferase_YjaB	27	0	24	0	1	1	1
OG0007623:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0004688:___hypothetical_protein	8	19	8	16	1	1	1
OG0003896:___N,N'-diacetylchitobiose-specific_phosphotransferase_enzyme_IIA_component	18	9	15	9	0.777618602803293	1	1
OG0002110:___Hydrogenase_isoenzymes_formation_protein_HypE	27	0	24	0	1	1	1
OG0011073:___tRNA_(guanine-N(1)-)-methyltransferase	1	26	0	24	1	1	1
OG0000320:___Tagatose-6-phosphate_kinase	27	0	24	0	1	1	1
OG0000014:___HTH-type_transcriptional_regulator_DmlR	27	0	24	0	1	1	1
OG0003087:___Carbamate_kinase_2	26	1	24	0	1	1	1
OG0005956:___hypothetical_protein	5	22	1	23	0.195215958723915	1	1
OG0010984:___MbeD/MobD_like_protein	1	26	0	24	1	1	1
OG0011856:___Phosphotransferase_enzyme_family_protein	0	27	1	23	0.470588235294118	1	1
OG0000646:___Alpha-ketoglutarate-dependent_dioxygenase_AlkB	27	0	24	0	1	1	1
OG0007921:___C4-dicarboxylic_acid_transporter_DauA	1	26	1	23	1	1	1
OG0009073:___GTPase_ObgE/CgtA	0	27	1	23	0.470588235294118	1	1
OG0010737:___hypothetical_protein	1	26	0	24	1	1	1
OG0002361:___putative_phospholipid_ABC_transporter_permease_protein_MlaE	27	0	24	0	1	1	1
OG0005735:___hypothetical_protein	2	25	5	19	0.23227248346147	1	1
OG0007060:___hypothetical_protein	2	25	1	23	1	1	1
OG0008372:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0005674:___Carnitine_operon_protein_CaiE	5	22	2	22	0.424727337743608	1	1
OG0000354:___Replicative_DNA_helicase	27	0	24	0	1	1	1
OG0005239:___3-hexulose-6-phosphate_isomerase	9	18	2	22	0.0424863661446766	1	1
OG0010023:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001361:___N-acetyl-D-glucosamine_kinase	27	0	24	0	1	1	1
OG0001085:___Rod_shape-determining_protein_RodA	27	0	24	0	1	1	1
OG0004160:___HTH-type_transcriptional_repressor_GlcR	18	9	9	15	0.0512506707033595	1	1
OG0007603:___hypothetical_protein	1	26	1	23	1	1	1
OG0008735:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005130:___Transposase_IS116/IS110/IS902_family_protein	7	20	5	19	0.749033630178879	1	1
OG0003555:___hypothetical_protein	26	1	22	2	0.595486194477791	1	1
OG0008275:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0000616:___putative_ATP-dependent_helicase_DinG	27	0	23	1	0.470588235294118	1	1
OG0006831:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0000740:___Cytochrome_c-type_biogenesis_protein_CcmF	27	0	24	0	1	1	1
OG0000823:___8-oxo-dGTP_diphosphatase	27	0	24	0	1	1	1
OG0002632:___L-threonine_3-dehydrogenase	27	0	24	0	1	1	1
OG0011078:___bacteriophage_N4_receptor,_outer_membrane_subunit	1	26	0	24	1	1	1
OG0005071:___NAD/NADP-dependent_betaine_aldehyde_dehydrogenase	3	24	9	15	0.0456157698715068	1	1
OG0011683:___cell_division_protein_DamX	1	26	0	24	1	1	1
OG0004221:___Autoinducer_2-binding_protein_LsrB_precursor	8	19	16	8	0.0118421641737688	1	1
OG0007333:___hypothetical_protein	3	24	0	24	0.237647058823529	1	1
OG0011453:___Leucine-responsive_regulatory_protein	1	26	0	24	1	1	1
OG0001242:___Ribosomal_protein_S12_methylthiotransferase_accessory_factor_YcaO	27	0	24	0	1	1	1
OG0011547:___Cyclic_di-GMP_phosphodiesterase_YhjH	1	26	0	24	1	1	1
OG0005002:___dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose_3-N-acetyltransferase	7	20	6	18	1	1	1
OG0002892:___Maltoporin_precursor	27	0	24	0	1	1	1
OG0010884:___3-keto-L-gulonate-6-phosphate_decarboxylase_UlaD	1	26	0	24	1	1	1
OG0000556:___Putative_phosphoethanolamine_transferase_YbiP	27	0	24	0	1	1	1
OG0008720:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001557:___Endonuclease_III	27	0	24	0	1	1	1
OG0007768:___Ribose_transport_system_permease_protein_RbsC	1	26	1	23	1	1	1
OG0010715:___hypothetical_protein	1	26	0	24	1	1	1
OG0008909:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003197:___Inner_membrane_amino-acid_ABC_transporter_permease_protein_YecS	26	1	24	0	1	1	1
OG0008243:___hypothetical_protein	1	26	1	23	1	1	1
OG0011851:___Shiga_toxin_subunit_A_precursor	0	27	1	23	0.470588235294118	1	1
OG0002281:___Inner_membrane_transporter_YgjI	27	0	24	0	1	1	1
OG0007193:___CsbD-like_protein	2	25	1	23	1	1	1
OG0002498:___GMP/IMP_nucleotidase_YrfG	27	0	24	0	1	1	1
OG0011484:___hypothetical_protein	1	26	0	24	1	1	1
OG0010611:___hypothetical_protein	1	26	0	24	1	1	1
OG0001983:___4-hydroxy-tetrahydrodipicolinate_synthase	27	0	24	0	1	1	1
OG0003956:___4-hydroxy-2-oxovalerate_aldolase	13	14	17	7	0.154400418443077	1	1
OG0006257:___hypothetical_protein	4	23	1	23	0.35390156062425	1	1
OG0005024:___hypothetical_protein	8	19	5	19	0.533919598903633	1	1
OG0005606:___hypothetical_protein	4	23	3	21	1	1	1
OG0009043:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004675:___hypothetical_protein	6	21	6	18	1	1	1
OG0007827:___Zona_occludens_toxin	0	27	2	22	0.216470588235294	1	1
OG0004271:___DNA_primase_TraC	10	17	9	15	1	1	1
OG0006083:___Acyl_carrier_protein	0	27	5	19	0.0180940461290899	1	1
OG0010609:___hypothetical_protein	1	26	0	24	1	1	1
OG0007282:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0007491:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0006893:___Ribosomal_RNA_small_subunit_methyltransferase_F	1	26	2	22	0.595486194477791	1	1
OG0008553:___hypothetical_protein	1	26	1	23	1	1	1
OG0011412:___hypothetical_protein	1	26	0	24	1	1	1
OG0001624:___N,N'-diacetylchitobiose-specific_phosphotransferase_enzyme_IIB_component	27	0	24	0	1	1	1
OG0006599:___Yop_proteins_translocation_protein_U	0	27	3	21	0.0971908763505402	1	1
OG0009973:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001785:___Putative_osmoprotectant_uptake_system_permease_protein_YehW	27	0	24	0	1	1	1
OG0003336:___Putative_L-lactate_dehydrogenase_operon_regulatory_protein	27	0	23	1	0.470588235294118	1	1
OG0009870:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003507:___Type-1_fimbrial_protein,_A_chain_precursor	26	1	23	1	1	1	1
OG0003059:___Phosphoserine_phosphatase	27	0	24	0	1	1	1
OG0005871:___Phospho-2-dehydro-3-deoxyheptonate_aldolase,_Phe-sensitive	4	23	2	22	0.671272764424919	1	1
OG0006453:___hypothetical_protein	2	25	2	22	1	1	1
OG0010078:___hypothetical_protein	1	26	0	24	1	1	1
OG0004353:___Chaperone_protein_FimC_precursor	8	19	14	10	0.0508168097499005	1	1
OG0001488:___FMN-dependent_NADH-azoreductase	27	0	24	0	1	1	1
OG0005635:___hypothetical_protein	3	24	1	23	0.61234093637455	1	1
OG0010860:___hypothetical_protein	1	26	0	24	1	1	1
OG0004697:___Acyl-coenzyme_A_thioesterase_PaaI	5	22	11	13	0.0680578755909732	1	1
OG0001860:___Signal_transduction_protein_PmrD	27	0	24	0	1	1	1
OG0000107:___Multidrug_transporter_EmrE	24	3	20	4	0.693187913463258	1	1
OG0002644:___Coenzyme_A_biosynthesis_bifunctional_protein_CoaBC	27	0	24	0	1	1	1
OG0010138:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005434:___hypothetical_protein	5	22	4	20	1	1	1
OG0004229:___RutC_family_protein_YjgH	11	16	14	10	0.266831211274678	1	1
OG0002183:___Aminomethyltransferase	27	0	24	0	1	1	1
OG0005655:___hypothetical_protein	2	25	5	19	0.23227248346147	1	1
OG0001337:___Peptidoglycan_hydrolase_FlgJ	27	0	24	0	1	1	1
OG0005939:___hypothetical_protein	3	24	2	22	1	1	1
OG0003442:___putative_diguanylate_cyclase_YedQ	25	2	24	0	0.491764705882353	1	1
OG0007136:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0003902:___KilA-N_domain_protein	11	16	13	11	0.405830398288622	1	1
OG0011671:___hypothetical_protein	1	26	0	24	1	1	1
OG0004311:___putative_aldolase_LsrF	8	19	15	9	0.0255605636081234	1	1
OG0000914:___Cytosol_non-specific_dipeptidase	27	0	24	0	1	1	1
OG0004371:___putative_formate_transporter_1	8	19	14	10	0.0508168097499005	1	1
OG0008660:___von_Willebrand_factor_type_A_domain_protein	0	27	1	23	0.470588235294118	1	1
OG0010116:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0010203:___putative_HTH-type_transcriptional_regulator_YbbH	1	26	0	24	1	1	1
OG0011781:___Glutathione_transport_system_permease_protein_GsiC	0	27	1	23	0.470588235294118	1	1
OG0011282:___Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnI	1	26	0	24	1	1	1
OG0000470:___2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase	27	0	24	0	1	1	1
OG0003182:___NH(3)-dependent_NAD(+)_synthetase	27	0	23	1	0.470588235294118	1	1
OG0010318:___Multicopper_oxidase_mco	1	26	0	24	1	1	1
OG0010398:___hypothetical_protein	1	26	0	24	1	1	1
OG0000020:___Bacteriophage_lysis_protein	23	4	23	1	0.35390156062425	1	1
OG0008638:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004072:___Ribose_transport_system_permease_protein_RbsC	18	9	11	13	0.16432222004204	1	1
OG0003970:___Putative_multidrug_export_ATP-binding/permease_protein	18	9	13	11	0.401843731905091	1	1
OG0005466:___hypothetical_protein	4	23	5	19	0.718031260005239	1	1
OG0002048:___23S_rRNA_(guanosine-2'-O-)-methyltransferase_RlmB	27	0	24	0	1	1	1
OG0007759:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0009061:___Inner_membrane_transport_permease_YadH	0	27	1	23	0.470588235294118	1	1
OG0004378:___Inner_membrane_protein_YhaI	8	19	14	10	0.0508168097499005	1	1
OG0001771:___Transcriptional_regulatory_protein_BaeR	27	0	24	0	1	1	1
OG0010043:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001128:___Cytochrome_bd-I_ubiquinol_oxidase_subunit_1	27	0	24	0	1	1	1
OG0001575:___hypothetical_protein	27	0	24	0	1	1	1
OG0007631:___hypothetical_protein	1	26	1	23	1	1	1
OG0002626:___Protein-export_protein_SecB	27	0	24	0	1	1	1
OG0009147:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006497:___Phenylalanine--tRNA_ligase_beta_subunit	0	27	4	20	0.0425210084033614	1	1
OG0004789:___hypothetical_protein	5	22	10	14	0.122539938611432	1	1
OG0002046:___HTH-type_transcriptional_activator_CmpR	27	0	24	0	1	1	1
OG0001918:___Fimbrial_subunit_ElfA_precursor	27	0	24	0	1	1	1
OG0003333:___Toxin-antitoxin_biofilm_protein_TabA	27	0	23	1	0.470588235294118	1	1
OG0009241:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0002956:___entericidin_B_membrane_lipoprotein	27	0	24	0	1	1	1
OG0008448:___Polyphosphate_kinase	2	25	0	24	0.491764705882353	1	1
OG0004309:___Diguanylate_cyclase_DosC	9	18	14	10	0.0951998621803338	1	1
OG0007248:___hypothetical_protein	3	24	0	24	0.237647058823529	1	1
OG0011433:___4-hydroxyphenylacetate_decarboxylase_large_subunit	1	26	0	24	1	1	1
OG0004111:___hypothetical_protein	14	13	14	10	0.77950128966493	1	1
OG0000777:___Crotonobetainyl-CoA_dehydrogenase	27	0	24	0	1	1	1
OG0006569:___glucosamine--fructose-6-phosphate_aminotransferase	2	25	2	22	1	1	1
OG0011602:___Dihydrolipoyl_dehydrogenase	1	26	0	24	1	1	1
OG0001879:___NAD(P)H-quinone_oxidoreductase_subunit_3	27	0	24	0	1	1	1
OG0003092:___Methylisocitrate_lyase	26	1	24	0	1	1	1
OG0003843:___Putative_type_II_secretion_system_protein_L	23	4	13	11	0.0294376790195089	1	1
OG0005006:___Multidrug_transporter_MdtC	5	22	3	21	0.707133917396746	1	1
OG0007444:___Glucitol/sorbitol-specific_phosphotransferase_enzyme_IIB_component	0	27	2	22	0.216470588235294	1	1
OG0010948:___Glucans_biosynthesis_protein_G_precursor	1	26	0	24	1	1	1
OG0007132:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0006715:___hypothetical_protein	3	24	1	23	0.61234093637455	1	1
OG0008785:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0008634:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003712:___Fertility_inhibition_protein	17	10	19	5	0.234992863922461	1	1
OG0006647:___hypothetical_protein	2	25	2	22	1	1	1
OG0002846:___Acetylglutamate_kinase	27	0	24	0	1	1	1
OG0005495:___Cytosol_aminopeptidase	2	25	6	18	0.126980153763633	1	1
OG0000375:___Acetyl-coenzyme_A_synthetase	26	1	24	0	1	1	1
OG0010160:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0000037:___Crossover_junction_endodeoxyribonuclease_RusA	24	3	24	0	0.237647058823529	1	1
OG0002763:___putative_protein_kinase_UbiB	27	0	24	0	1	1	1
OG0009320:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003780:___Inner_membrane_protein_YihN	17	10	17	7	0.766636805410862	1	1
OG0007692:___hypothetical_protein	1	26	1	23	1	1	1
OG0006895:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0005199:___Phosphoglycerate_transport_system_sensor_protein_PgtB	5	22	6	18	0.735824873872504	1	1
OG0002227:___Hydrogenase-2_operon_protein_HybE	27	0	24	0	1	1	1
OG0008813:___putative_CoA-transferase	0	27	1	23	0.470588235294118	1	1
OG0005549:___Inner_membrane_symporter_YihP	6	21	2	22	0.255283389951725	1	1
OG0008078:___putative_FAD-linked_oxidoreductase	1	26	1	23	1	1	1
OG0006139:___hypothetical_protein	2	25	3	21	0.656330617353324	1	1
OG0008762:___Putative_glycosyltransferase_CsbB	0	27	1	23	0.470588235294118	1	1
OG0010417:___hypothetical_protein	1	26	0	24	1	1	1
OG0011847:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0008242:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0004226:___Putative_transcriptional_regulator_of_2-aminoethylphosphonate_degradation_operons	9	18	16	8	0.0254493510232954	1	1
OG0006928:___hypothetical_protein	2	25	1	23	1	1	1
OG0001602:___hypothetical_protein	27	0	24	0	1	1	1
OG0005618:___Diaminopimelate_decarboxylase	1	26	6	18	0.0420489898086894	1	1
OG0011315:___hypothetical_protein	1	26	0	24	1	1	1
OG0011755:___putative_quorum-quenching_lactonase_YtnP	0	27	1	23	0.470588235294118	1	1
OG0000630:___von_Willebrand_factor_type_A_domain_protein	27	0	24	0	1	1	1
OG0005041:___N-acetylmannosamine_kinase	5	22	7	17	0.511276016664133	1	1
OG0003534:___Anaerobic_dimethyl_sulfoxide_reductase_chain_C	24	3	24	0	0.237647058823529	1	1
OG0011763:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011829:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004851:___hypothetical_protein	6	21	8	16	0.531089151123695	1	1
OG0008106:___Pullulanase_secretion_protein_PulS_precursor	0	27	2	22	0.216470588235294	1	1
OG0005030:___hypothetical_protein	6	21	6	18	1	1	1
OG0004217:___hypothetical_protein	10	17	11	13	0.578005185577681	1	1
OG0002258:___Membrane_fusogenic_activity	27	0	24	0	1	1	1
OG0008945:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0009057:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007274:___hypothetical_protein	3	24	0	24	0.237647058823529	1	1
OG0001211:___Spermidine/putrescine_import_ATP-binding_protein_PotA	27	0	24	0	1	1	1
OG0004453:___hypothetical_protein	7	20	13	11	0.0491721750697626	1	1
OG0003385:___PTS_system_mannose-specific_EIIAB_component	27	0	23	1	0.470588235294118	1	1
OG0002571:___Acid_stress_chaperone_HdeB_precursor	27	0	24	0	1	1	1
OG0010728:___hypothetical_protein	1	26	0	24	1	1	1
OG0002696:___Phosphate-binding_protein_PstS_precursor	27	0	24	0	1	1	1
OG0000682:___Biosynthetic_arginine_decarboxylase	27	0	24	0	1	1	1
OG0007117:___hypothetical_protein	1	26	2	22	0.595486194477791	1	1
OG0010624:___hypothetical_protein	1	26	0	24	1	1	1
OG0011203:___hypothetical_protein	1	26	0	24	1	1	1
OG0011095:___hypothetical_protein	1	26	0	24	1	1	1
OG0007831:___carbon_starvation_induced_protein	0	27	2	22	0.216470588235294	1	1
OG0008304:___Clamp-binding_protein_CrfC	2	25	0	24	0.491764705882353	1	1
OG0011465:___Aminoglycoside-2''-adenylyltransferase	1	26	0	24	1	1	1
OG0009844:___Imidazolonepropionase	0	27	1	23	0.470588235294118	1	1
OG0008100:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0001324:___Dihydroorotase	27	0	24	0	1	1	1
OG0000555:___putative_oxidoreductase_YbiC	27	0	24	0	1	1	1
OG0005111:___hypothetical_protein	5	22	7	17	0.511276016664133	1	1
OG0005736:___hypothetical_protein	2	25	5	19	0.23227248346147	1	1
OG0005947:___hypothetical_protein	6	21	0	24	0.0239099895277259	1	1
OG0002552:___Nickel_transport_system_permease_protein_NikB	27	0	24	0	1	1	1
OG0008609:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0002534:___leucine/isoleucine/valine_transporter_permease_subunit	27	0	24	0	1	1	1
OG0009933:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0009510:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007507:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0001829:___Cytochrome_c-type_biogenesis_protein_CcmE	27	0	24	0	1	1	1
OG0000584:___Peptide_transport_system_permease_protein_SapC	27	0	24	0	1	1	1
OG0010238:___hypothetical_protein	1	26	0	24	1	1	1
OG0004397:___ASCH_domain_protein	9	18	13	11	0.16432222004204	1	1
OG0000678:___Phosphoenolpyruvate-protein_phosphotransferase	27	0	24	0	1	1	1
OG0010456:___hypothetical_protein	1	26	0	24	1	1	1
OG0002146:___RecBCD_enzyme_subunit_RecB	27	0	24	0	1	1	1
OG0006554:___Polyketide_cyclase_/_dehydrase_and_lipid_transport	3	24	1	23	0.61234093637455	1	1
OG0009014:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006674:___hypothetical_protein	2	25	2	22	1	1	1
OG0010958:___hypothetical_protein	1	26	0	24	1	1	1
OG0010480:___hypothetical_protein	1	26	0	24	1	1	1
OG0009824:___Propanediol_dehydratase_large_subunit	0	27	1	23	0.470588235294118	1	1
OG0005348:___ERF_superfamily_protein	9	18	0	24	0.00197032004291078	1	1
OG0007103:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0005152:___CRISPR-associated_endonuclease_Cas1	9	18	3	21	0.105369667447964	1	1
OG0004141:___putative_autotransporter_precursor	8	19	14	10	0.0508168097499005	1	1
