Operon	Gene	Location	Strand	Length	Gene	Synonym	Code	COG	Product	
61 	prok_00183 	208898..212380 	+ 	3483 	dnaE 	prok_00183 	- 	- 	DNA polymerase III subunit alpha
61 	prok_00184 	212393..213352 	+ 	960 	accA 	prok_00184 	- 	- 	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
61 	prok_00185 	213450..215591 	+ 	2142 	ldcC 	prok_00185 	- 	- 	Lysine decarboxylase, constitutive
61 	prok_00186 	215648..216037 	+ 	390 	- 	prok_00186 	- 	- 	putative lyase
61 	prok_00187 	216102..217400 	+ 	1299 	tilS 	prok_00187 	- 	- 	tRNA(Ile)-lysidine synthase
62 	prok_00188 	217449..217709 	- 	261 	- 	prok_00188 	- 	- 	Rho-binding antiterminator
62 	prok_00189 	217696..217896 	- 	201 	- 	prok_00189 	- 	- 	hypothetical protein
63 	prok_00190 	218062..218607 	+ 	546 	- 	prok_00190 	- 	- 	YaeQ protein
63 	prok_00191 	218604..219026 	+ 	423 	yaeJ 	prok_00191 	- 	- 	Peptidyl-tRNA hydrolase YaeJ
63 	prok_00192 	219040..219750 	+ 	711 	nlpE 	prok_00192 	- 	- 	Copper homeostasis protein CutF
64 	prok_00193 	219906..220730 	- 	825 	- 	prok_00193 	- 	- 	putative distant relative of cell wall-associated hydrolases
64 	prok_00194 	220783..222501 	- 	1719 	proS 	prok_00194 	- 	- 	Proline--tRNA ligase
64 	prok_00195 	222612..223319 	- 	708 	tsaA 	prok_00195 	- 	- 	putative tRNA (adenine(37)-N6)-methyltransferase
64 	prok_00196 	223316..223720 	- 	405 	- 	prok_00196 	- 	- 	outer membrane lipoprotein
64 	prok_00197 	223838..224653 	- 	816 	metQ 	prok_00197 	- 	- 	D-methionine-binding lipoprotein MetQ precursor
64 	prok_00198 	224693..225346 	- 	654 	metI 	prok_00198 	- 	- 	D-methionine transport system permease protein MetI
64 	prok_00199 	225339..226370 	- 	1032 	metN 	prok_00199 	- 	- 	Methionine import ATP-binding protein MetN
65 	prok_00200 	226558..227130 	+ 	573 	gmhB 	prok_00200 	- 	- 	D,D-heptose 1,7-bisphosphate phosphatase
66 	prok_00207 	232880..233683 	+ 	804 	dkgB 	prok_00207 	- 	- 	2,5-diketo-D-gluconic acid reductase B
67 	prok_00208 	233680..234594 	- 	915 	dmlR_1 	prok_00208 	- 	- 	D-malate degradation protein R
68 	prok_00209 	234811..235635 	+ 	825 	- 	prok_00209 	- 	- 	Endonuclease/Exonuclease/phosphatase family protein
68 	prok_00210 	235713..236483 	+ 	771 	ycgJ 	prok_00210 	- 	- 	putative methyltransferase YcgJ
69 	prok_00211 	236532..237752 	- 	1221 	mltD 	prok_00211 	- 	- 	Membrane-bound lytic murein transglycosylase D precursor
70 	prok_00212 	237962..238717 	- 	756 	gloB 	prok_00212 	- 	- 	Hydroxyacylglutathione hydrolase
71 	prok_00213 	238751..239473 	+ 	723 	- 	prok_00213 	- 	- 	biotin biosynthesis protein BioC
72 	prok_00214 	239470..239937 	- 	468 	rnhA 	prok_00214 	- 	- 	Ribonuclease HI
73 	prok_00215 	239993..240733 	+ 	741 	dnaQ 	prok_00215 	- 	- 	DNA polymerase III subunit epsilon
74 	prok_00217 	241272..242057 	+ 	786 	- 	prok_00217 	- 	- 	hypothetical protein
75 	prok_00218 	242397..242876 	- 	480 	hcpA_1 	prok_00218 	- 	- 	Secreted protein hcp
75 	prok_00219 	242894..244252 	- 	1359 	- 	prok_00219 	- 	- 	type VI secretion-associated protein, family
75 	prok_00220 	244263..247787 	- 	3525 	- 	prok_00220 	- 	- 	type VI secretion protein IcmF
75 	prok_00221 	247807..249249 	- 	1443 	- 	prok_00221 	- 	- 	type VI secretion-associated protein, family
75 	prok_00222 	249254..249997 	- 	744 	- 	prok_00222 	- 	- 	type VI secretion-associated protein, family
75 	prok_00223 	249994..252756 	- 	2763 	clpB_1 	prok_00223 	- 	- 	Chaperone protein ClpB
75 	prok_00224 	252766..253530 	- 	765 	- 	prok_00224 	- 	- 	type IV/VI secretion system protein, DotU family
75 	prok_00225 	253535..254881 	- 	1347 	- 	prok_00225 	- 	- 	type VI secretion protein, family
75 	prok_00226 	254884..255408 	- 	525 	- 	prok_00226 	- 	- 	type VI secretion lipoprotein, family
75 	prok_00227 	255405..256685 	- 	1281 	- 	prok_00227 	- 	- 	type VI secretion system FHA domain protein
75 	prok_00228 	256702..257751 	- 	1050 	- 	prok_00228 	- 	- 	type VI secretion protein, family
75 	prok_00229 	257715..259556 	- 	1842 	- 	prok_00229 	- 	- 	type VI secretion protein, family
75 	prok_00230 	259562..259987 	- 	426 	- 	prok_00230 	- 	- 	baseplate wedge subunit
75 	prok_00231 	259992..261476 	- 	1485 	- 	prok_00231 	- 	- 	type VI secretion protein, EvpB/ family
75 	prok_00232 	261499..262002 	- 	504 	- 	prok_00232 	- 	- 	type VI secretion protein, family
76 	prok_00233 	262708..263226 	+ 	519 	hcpA_2 	prok_00233 	- 	- 	Secreted protein hcp
76 	prok_00234 	263312..263431 	+ 	120 	- 	prok_00234 	- 	- 	hypothetical protein
76 	prok_00235 	263447..265789 	+ 	2343 	- 	prok_00235 	- 	- 	baseplate hub subunit and tail lysozyme
76 	prok_00236 	265868..266767 	+ 	900 	- 	prok_00236 	- 	- 	hypothetical protein
76 	prok_00237 	266780..267445 	+ 	666 	- 	prok_00237 	- 	- 	hypothetical protein
77 	prok_00238 	268098..268748 	+ 	651 	- 	prok_00238 	- 	- 	Transposase
77 	prok_00239 	268767..270749 	+ 	1983 	- 	prok_00239 	- 	- 	type VI secretion system Vgr family protein
77 	prok_00240 	270856..271902 	+ 	1047 	- 	prok_00240 	- 	- 	hypothetical protein
77 	prok_00241 	271895..273334 	+ 	1440 	- 	prok_00241 	- 	- 	hypothetical protein
77 	prok_00242 	273309..273599 	+ 	291 	- 	prok_00242 	- 	- 	hypothetical protein
78 	prok_00243 	273857..274036 	+ 	180 	- 	prok_00243 	- 	- 	Transposase
78 	prok_00244 	274136..274621 	+ 	486 	- 	prok_00244 	- 	- 	Transposase
